urgency,difficulty,time_left,importance,past_delay,priority
7.856387905770676,1.8724629206153656,119.84715163657727,3.4212064298924334,1,HIGH
4.239422719919557,6.904225277238483,116.28648911385011,0.9628026414669072,1,LOW
8.76489772032218,8.04007218411583,34.914595732458835,3.0381059784430167,0,MEDIUM
6.647646648777235,1.8171496250710228,7.238642751550087,8.055686837176689,1,HIGH
0.9220914901298058,0.42695230912913607,52.987428430205334,5.14866503607291,1,MEDIUM
9.749376152918936,4.117277678483379,27.793588243918233,1.8303286943980357,0,HIGH
7.707490439304179,7.708014454819397,67.35542512624401,3.1121174707118477,0,MEDIUM
7.654411053540267,6.630166205276169,165.72391572532763,9.469160325699157,0,HIGH
0.8877835144903753,7.18479345864471,31.89554557485812,4.310063259004169,1,LOW
4.5381139312648076,4.166155600096684,55.45424874784425,4.410020339479202,1,MEDIUM
3.8132662968349083,2.5913690660689523,118.79154930549404,2.0344472786191696,1,LOW
9.469140881012626,5.706378885688337,84.66815311603632,2.75403760359261,0,MEDIUM
6.366940870129815,1.9626524671439458,4.229420577504484,7.961606320780799,0,HIGH
8.382752460911389,7.823349379471278,27.912021532109744,7.647404557093633,1,HIGH
4.531296743250997,1.5656770499212869,160.38831924706585,4.408842326195868,0,LOW
2.5368682333906363,2.756970378032375,19.214085007846514,8.982457290897685,1,HIGH
5.534770286949505,5.105447833913004,105.51797390199343,3.687974811929426,0,LOW
0.29219270048293744,4.976904525958632,134.14230346360898,8.822519331643528,1,MEDIUM
8.262779785201971,5.972166633324975,45.36509898702597,0.38958687873627684,0,MEDIUM
6.334334140913191,4.2752928170498405,122.30685603931128,3.6599229652314884,0,MEDIUM
7.684516249333438,9.635250167901907,26.01870890852399,8.791375650780536,0,HIGH
3.2387232080305606,8.29063642675292,50.53984233062396,8.586886637555157,0,MEDIUM
9.644571280987458,8.587259720520295,50.098738354449566,7.701363747008077,1,HIGH
9.1048319275349,6.633330844610816,166.66794785286874,6.440646074477625,1,HIGH
7.7630178801933925,6.519909696839984,38.04497190969142,8.20493161954992,1,HIGH
1.8852402020932586,6.310930281509028,21.047100859054183,7.061002681195814,0,MEDIUM
5.048475316827043,4.388015791729669,155.68219547248697,2.5361667943761743,1,LOW
0.22403682050597737,2.9458626725070447,27.527375646730587,4.421444740212193,1,MEDIUM
1.7895258626723411,5.936952817455221,147.86292531149135,6.813147286138949,0,LOW
7.034739479599384,0.0,109.54177832549877,5.619928575710875,0,HIGH
7.402588266754779,0.12302572735697764,97.38288293514677,9.001082793505123,0,HIGH
9.668519213725636,8.647098849723568,126.39917491111834,4.4520683261440395,0,MEDIUM
